date,source,title,text
2026-06-14 13:55:52,ТСН,"Вдова загиблого Юрія Феліпенка у роковини його смерті довела до сліз зізнанням: ""Не припиню кохати""","Катерина Мотрич вшанувала пам’ять чоловіка, життя якого обірвалося рік тому на війні."
2026-06-14 13:50:23,ТСН,Три ложки на три літри води — і навіть старі та сірі шкарпетки стануть ідеально білими,"Повернути білизну старим і посірілим шкарпеткам можна без дорогих засобів і зайвих витрат. Простий домашній метод не лише економить кошти, а й дозволяє подовжити термін служби улюблених речей."
2026-06-14 13:49:23,ТСН,Системних порушників ПДР пропонують позбавляти водійських прав,"Водії, які регулярно порушують правила, мають проходити повторні тести. Таке покарання пропонує нардепка."
2026-06-14 13:42:44,ТСН,"Дощі будуть змінюватися спекою, а температура буде: коли буде погода в Україні наступної тижня",Українцям слід готуватися до нестійкої погоди на неділі 15-21 червня.
2026-06-14 13:15:29,ТСН,На Київ та область суне грозовий фронт — коли вдарить негода,У ДСНС попередили про різку зміну погоди через активні атмосферні фронти.
2026-06-14 13:13:26,ТСН,Невпізнанний Ігор Ласточкін на свіжому фото приголомшив змінами у зовнішньому вигляді,"Комік, який служить в лавах ЗСУ, вперше за тривалий час вийшов на зв’язок."
2026-06-14 13:06:11,ТСН,Дрони СБУ вдарили по нафтобазі у тилу РФ: на об'єкті масштабна пожежа,"Українські дронарі потужно вдарили по нафтобазі у Рибінську, що в Росії."
2026-06-14 13:01:36,ТСН,В Ірані спалахнули протести через можливу угоду зі США (фото),Учасники акцій звинуватили владу в поступках американцям.
2026-06-14 12:55:31,ТСН,Скандал із платіжками у Києві: суми за опалення може перевірити Антимонопольний комітет,"У червні кияни отримали платіжки за опалення, датовані січнем, із нарахуваннями за фактично відсутнє тепло. Економіст Олег Устенко заявив про можливу перевірку з боку Антимонопольного комітету України."
2026-06-14 12:53:38,ТСН,Чоловік з’їв за хвилину рекордну кількість меду — відео,Відео незвичайного досягнення стрімко набирає популярність у Мережі.
2026-06-14 12:39:29,ТСН,Чому українці дедалі частіше ігнорують повітряні тривоги: пояснення психологині,"Фахівчиня закликала уважно придивитися до свого стану, щоб попередити депресію."
2026-06-14 12:38:51,ТСН,Домашній лимонад з полуниці: 5 освіжаючих рецептів для спеки,Домашній лимонад з полуниці можна приготувати всього за кілька хвилин.
